##### x (log10Mstar in solar masses), y (B/T), yerrup, yerrdown (coord of error bar not the actual error)
9, 0.17793594306049831, 0.4822, 0.029359430604982473
9.25, 0.29893238434163705, 1, 0.015124555160142439
9.5, 0.3576512455516013, 1, 0.020462633451957313
9.75, 0.27224199288256234, 1, 0.002669039145907437
10, 0.3941281138790036, 1, 0.014234875444839812
10.25, 0.3959074733096085, 1, 0.018683274021352503
10.5, 0.5862989323843416, 1, 0.05516014234875466
10.75, 0.7944839857651246, 1, 0.11032028469750899
11, 1, 1,  0.1770462633451958
11.25, 1, 1, 0.2428825622775801
11.5, 1, 1, 0.4679715302491104
11.75, 1, 1, 0.708185053380783
12, 1, 1, 0.5916370106761566
12.25, 0.6120996441281139, 0.699, 0.34430604982206403
