## Measurements of the AGN duty cycle as a function of stellar mass and redshift for all, star-forming and quiescent galaxies
## Taken from Aird et al. 2017b, MNRAS(in press), arXiv:1705.01132 (see Figure 6)
## Column description:
## Class - All, SF (star-forming), or Qu (Quiescent) galaxies
## zbinlo, zbinhi  - lower and upper limit of redshift bin
## mbinlo, mbinhi - lower and	upper limit of stellar mass bin	in log (Mstel/Msun)
## fduty(%) - fraction of galaxies (as a %) in mass+redshift bin with an AGN accreting above a specific black hole accretion rate limit of 0.01.
##            See Equation 3 of Aird+17b.
## fduty_error_lo(68%), fduty_error_hi(68%) - lower and upper 1 sigma equivalent errors on the duty cycle (as a %)
##
# Class  zbinlo  zbinhi  mbinlo  mbinhi   fduty(%)  fduty_error_lo(68%)   fduty_error_hi(68%)
 All   0.10   0.50   8.50   9.00     0.420     0.119     0.159
 All   0.50   1.00   8.50   9.00     0.208     0.095     0.144
 All   0.10   0.50   9.00   9.50     0.714     0.152     0.172
 All   0.50   1.00   9.00   9.50     0.337     0.098     0.130
 All   1.00   1.50   9.00   9.50     0.229     0.134     0.239
 All   0.10   0.50   9.50  10.00     0.411     0.102     0.132
 All   0.50   1.00   9.50  10.00     0.877     0.156     0.177
 All   1.00   1.50   9.50  10.00     1.598     0.303     0.407
 All   1.50   2.00   9.50  10.00     0.548     0.237     0.332
 All   0.10   0.50  10.00  10.50     0.805     0.141     0.179
 All   0.50   1.00  10.00  10.50     2.701     0.186     0.206
 All   1.00   1.50  10.00  10.50     4.969     0.399     0.425
 All   1.50   2.00  10.00  10.50     6.354     0.571     0.715
 All   2.00   2.50  10.00  10.50     5.340     0.982     1.181
 All   2.50   3.00  10.00  10.50     6.072     1.344     1.460
 All   3.00   4.00  10.00  10.50     2.365     1.186     1.826
 All   0.10   0.50  10.50  11.00     1.425     0.236     0.258
 All   0.50   1.00  10.50  11.00     4.862     0.268     0.271
 All   1.00   1.50  10.50  11.00     8.485     0.411     0.482
 All   1.50   2.00  10.50  11.00    12.211     0.768     0.819
 All   2.00   2.50  10.50  11.00    18.025     1.589     1.527
 All   2.50   3.00  10.50  11.00    16.856     2.728     2.988
 All   3.00   4.00  10.50  11.00     8.802     2.565     3.120
 All   0.10   0.50  11.00  11.50     0.713     0.245     0.349
 All   0.50   1.00  11.00  11.50     3.550     0.435     0.477
 All   1.00   1.50  11.00  11.50     7.066     0.772     0.830
 All   1.50   2.00  11.00  11.50    11.628     1.231     1.331
 All   2.00   2.50  11.00  11.50    23.874     2.463     2.621
 All   2.50   3.00  11.00  11.50    18.313     3.926     3.908
 All   3.00   4.00  11.00  11.50    19.857     4.143     4.383
  SF   0.10   0.50   8.50   9.00     0.302     0.099     0.134
  SF   0.50   1.00   8.50   9.00     0.171     0.090     0.149
  SF   0.10   0.50   9.00   9.50     0.412     0.125     0.160
  SF   0.50   1.00   9.00   9.50     0.285     0.095     0.131
  SF   1.00   1.50   9.00   9.50     0.075     0.059     0.165
  SF   0.10   0.50   9.50  10.00     0.310     0.094     0.130
  SF   0.50   1.00   9.50  10.00     0.654     0.138     0.163
  SF   1.00   1.50   9.50  10.00     1.501     0.317     0.381
  SF   1.50   2.00   9.50  10.00     0.503     0.242     0.397
  SF   0.10   0.50  10.00  10.50     0.841     0.168     0.216
  SF   0.50   1.00  10.00  10.50     2.558     0.218     0.239
  SF   1.00   1.50  10.00  10.50     4.224     0.395     0.421
  SF   1.50   2.00  10.00  10.50     5.289     0.634     0.687
  SF   2.00   2.50  10.00  10.50     4.248     0.949     1.173
  SF   2.50   3.00  10.00  10.50     4.306     1.161     1.415
  SF   3.00   4.00  10.00  10.50     1.044     0.639     1.296
  SF   0.10   0.50  10.50  11.00     1.582     0.322     0.376
  SF   0.50   1.00  10.50  11.00     6.157     0.380     0.401
  SF   1.00   1.50  10.50  11.00    10.486     0.582     0.600
  SF   1.50   2.00  10.50  11.00    13.897     1.019     0.969
  SF   2.00   2.50  10.50  11.00    18.296     1.696     1.699
