## Measurements of the probability distribution function of specific black hole accretion rates, p(log lambda_{sBHAR} | M_*,z),
## for All galaxies as a function of stellar mass and redshift.
## Taken from Aird et al. 2017b, MNRAS(in press), arXiv:1705.01132 (see Figure 2)
## Column description:
## z_lo, z_hi  - lower and upper limit of redshift bin
## mass_lo, mass_hi - lower and	upper limit of stellar mass bin	in log (Mstel/Msun)
## logl	- value	of log(specific black hole accretion rate) - see Equation 2 of Aird+17b
## p(median), p_lolim(90%CL), p_uplim(90%CL) - estimates of p(log lambda) (per unit dex), giving the median and 90% upper and lower
##                                             central confidence limits based on posterior distribution.
## flag	- 1 indicates reliable	measurement, 0 indicates potential for significant contamination by star formation thus unreliable.
##
#     z_lo      z_hi   mass_lo   mass_hi      logl      p(median)       p_lolim(90%CL)   p_uplim(90%CL)      flag
      0.50      1.00      8.50      9.00     -5.00       2.26E-02       7.75E-04       1.32E-01   0
      0.50      1.00      8.50      9.00     -4.92       3.33E-02       1.14E-03       1.90E-01   0
      0.50      1.00      8.50      9.00     -4.84       4.71E-02       1.62E-03       2.65E-01   0
      0.50      1.00      8.50      9.00     -4.76       6.45E-02       2.26E-03       3.58E-01   0
      0.50      1.00      8.50      9.00     -4.68       8.34E-02       3.07E-03       4.53E-01   0
      0.50      1.00      8.50      9.00     -4.60       1.03E-01       3.95E-03       5.50E-01   0
      0.50      1.00      8.50      9.00     -4.52       1.21E-01       4.98E-03       6.20E-01   0
      0.50      1.00      8.50      9.00     -4.44       1.38E-01       5.84E-03       6.51E-01   0
      0.50      1.00      8.50      9.00     -4.36       1.43E-01       6.27E-03       6.37E-01   0
      0.50      1.00      8.50      9.00     -4.28       1.38E-01       6.45E-03       5.91E-01   0
      0.50      1.00      8.50      9.00     -4.20       1.24E-01       6.48E-03       5.31E-01   0
      0.50      1.00      8.50      9.00     -4.12       1.09E-01       6.53E-03       4.77E-01   0
      0.50      1.00      8.50      9.00     -4.04       9.25E-02       6.12E-03       4.24E-01   0
      0.50      1.00      8.50      9.00     -3.96       7.66E-02       5.87E-03       3.75E-01   0
      0.50      1.00      8.50      9.00     -3.88       6.38E-02       5.19E-03       3.16E-01   0
      0.50      1.00      8.50      9.00     -3.80       5.36E-02       4.56E-03       2.69E-01   0
      0.50      1.00      8.50      9.00     -3.72       4.47E-02       3.91E-03       2.32E-01   0
      0.50      1.00      8.50      9.00     -3.64       3.68E-02       3.25E-03       1.98E-01   0
