#red 11-11.5 Mstar uerr lerr
r 0.3 -0.9941348973607038 -0.5894428152492668 -1.3196480938416424
r 0.75 -1.2756598240469208 -1.1173020527859239 -1.368035190615836
r 1.25 -1.1041055718475075 -0.9809384164222874 -1.2008797653958945
r 1.75 -1.0821114369501466 -0.998533724340176 -1.1524926686217007
r 2.25 -0.998533724340176 -0.8885630498533725 -1.0777126099706744
r 2.75 -1.055718475073314 -0.8621700879765395 -1.1964809384164223
r 3.5 -0.6510263929618767 -0.5190615835777126 -0.7697947214076246
#brown 10.5-11 Mstar uerr lerr
brown 0.3 -1.244868035190616 -1.0337243401759533 -1.403225806451613
brown 0.75 -1.3020527859237538 -1.2536656891495603 -1.341642228739003
brown 1.25 -1.1436950146627567 -1.0997067448680353 -1.1788856304985338
brown 1.75 -1.1656891495601176 -1.121700879765396 -1.2052785923753666
brown 2.25 -0.8621700879765395 -0.813782991202346 -0.9237536656891496
brown 2.75 -0.8841642228739002 -0.782991202346041 -0.9765395894428153
brown 3.5 -0.43988269794721413 -0.25513196480938405 -0.5982404692082111
#yellow 10-10.5
gold 0.3 -1.1173020527859239 -0.8753665689149559 -1.2712609970674487
gold 0.75 -1.1436950146627567 -1.0733137829912023 -1.183284457478006
gold 1.25 -0.7609970674486806 -0.6950146627565983 -0.8005865102639296
gold 1.75 -0.6774193548387095 -0.620234604105572 -0.7214076246334311
gold 2.25 -0.5102639296187683 -0.39589442815249276 -0.6026392961876832
gold 2.75 -0.39589442815249276 -0.2595307917888563 -0.5146627565982405
gold 3.5 -0.3167155425219941 -0.05718475073313778 -0.5982404692082111
#blue 9.5-10 Mstar
teal 0.3 -1.187683284457478 -0.9017595307917889 -1.403225806451613
teal 0.75 -0.6378299120234605 -0.5190615835777126 -0.7434017595307916
teal 1.25 -0.5190615835777126 -0.4266862170087977 -0.6246334310850441
teal 1.75 -0.2947214076246334 -0.08357771260997049 -0.5366568914956011
